0.1885, [[0.0, 0.787385935991606], [0.9979957809725101, 0.0], [0.0, 0.7829760431794335], [0.9979853677891417, 0.0], [0.0, 0.2107], [0.9979183196390863, 0.0], [0.0, 0.0], [0.9975462077191272, 0.0], [0.0, 0.0], [0.9975159244817804, 0.0]]
0.1971, [[0.0, 0.8722232625918155], [0.9990788582997928, 0.0], [0.9990788582997928, 0.0], [0.0, 0.7829760431794335], [0.0, 0.62532765508919], [0.0, 0.2107], [0.0, 0.0], [0.9979853677891417, 0.0], [0.0, 0.2107], [0.9975159244817804, 0.0]]
0.1646, [[0.0, 0.5480872374606476], [0.9978139752914564, 0.0], [0.0, 0.2107], [0.001832266772816715, 0.0], [0.0, 0.2107], [0.00041428254057888615, 0.0], [0.0, 0.2107], [0.0, 0.0], [0.0, 0.2107], [0.0, 0.0]]
0.2076, [[0.9975826538609163, 0.0], [0.0, 0.9781513809024166], [0.0, 0.0], [0.0, 0.0], [0.9975159244817804, 0.0], [0.0, 0.9303063836306406], [0.9971658077552625, 0.0], [0.0, 0.9033144770199383], [0.972384875248947, 0.0], [0.0, 0.8722232625918155]]
0.2098, [[0.0, 0.9978027146904552], [1.0, 0.0], [0.0, 0.9034536190975896], [0.9998297763290194, 0.0], [0.0, 0.8635235698321114], [0.9981006566050057, 0.0], [0.0, 0.6856180001573964], [0.9979957809725101, 0.0], [0.0, 0.2107], [0.9977639282571045, 0.0]]
0.2078, [[0.9997039680728138, 0.0], [0.0, 0.9781513809024166], [0.0, 0.9303063836306406], [0.0, 0.8722232625918155], [0.0, 0.7829760431794335], [0.0, 0.787385935991606], [0.9990788582997928, 0.0], [0.9976605402222328, 0.0], [0.9947209410601339, 0.0], [0.9741246206702753, 0.0]]
0.2096, [[0.0, 1.0], [0.9961427656178077, 0.0], [0.0, 0.9978027146904552], [0.9748914772454738, 0.0], [0.0, 0.8970456294858382], [0.9737583528838392, 0.0], [0.0, 0.8802363554564546], [0.9728102219124526, 0.0], [0.0, 0.2107], [0.046795257700503294, 0.0]]
0.2078, [[0.0, 0.9781513809024166], [0.9997039680728138, 0.0], [0.0, 0.9138354401888801], [0.9989591066910566, 0.0], [0.0, 0.8970456294858382], [0.9987524368782865, 0.0], [0.0, 0.8722232625918155], [0.9986447985644892, 0.0], [0.0, 0.8334361661070335], [0.9985654246055486, 0.0]]
0.2077, [[0.0, 0.9138354401888801], [0.9991048912582137, 0.0], [0.0, 0.9781513809024166], [0.9989591066910566, 0.0], [0.9977483084820518, 0.0], [0.9730338928409261, 0.0], [0.9750212170096858, 0.0], [0.9731606574098899, 0.0], [0.9739501467203687, 0.0], [0.9757673534751207, 0.0]]
0.1996, [[0.0, 0.8722232625918155], [0.9985654246055486, 0.0], [0.0, 0.8970456294858382], [0.9975826538609163, 0.0], [0.0, 0.2107], [0.9975159244817804, 0.0], [0.0, 0.2107], [0.9947209410601339, 0.0], [0.0, 0.2107], [0.9738604658350329, 0.0]]
0.2077, [[0.0, 0.9781513809024166], [0.9989591066910566, 0.0], [0.0, 0.9034536190975896], [0.0, 0.8709560758132254], [0.0, 0.8635235698321114], [0.0, 0.8219084934417639], [0.0, 0.6856180001573964], [0.0, 0.8133603661594992], [0.9987524368782865, 0.0], [0.9984225089766665, 0.0]]
0.1961, [[0.0, 0.8605995156348366], [1.0, 0.0], [0.9984225089766665, 0.0], [0.9981096884477232, 0.0], [0.0, 0.7618214780167879], [0.9979957809725101, 0.0], [0.0, 0.2107], [0.9978725228836601, 0.0], [0.0, 0.2107], [0.9978683788617073, 0.0]]
0.2005, [[0.0, 0.9303063836306406], [0.0, 0.62532765508919], [0.9749593754513144, 0.0], [0.0, 0.817683709286462], [0.0, 0.2107], [0.0, 0.2107], [0.9744892946021142, 0.0], [0.9726602933233429, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.2078, [[0.9997039680728138, 0.0], [0.0, 0.9781513809024166], [0.9993961416216083, 0.0], [0.0, 0.8722232625918155], [0.9990788582997928, 0.0], [0.0, 0.8188142386673642], [0.9986371480624225, 0.0], [0.0, 0.8129727560860428], [0.9980958750412141, 0.0], [0.0, 0.787385935991606]]
0.1283, [[0.0, 0.0], [0.9720734360606545, 0.0], [0.0, 0.2107], [0.0, 0.0], [0.0, 0.2107], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]
0.2003, [[0.9998297763290194, 0.0], [0.0, 0.9034536190975896], [0.9985937952173789, 0.0], [0.9984467355665441, 0.0], [0.9984163460722242, 0.0], [0.9982837373697372, 0.0], [0.9972356185866198, 0.0], [0.0, 0.2107], [0.0, 0.2107], [0.0, 0.2107]]
0.1817, [[1.0, 0.0], [0.0, 0.716620594333683], [0.9981006566050057, 0.0], [0.0, 0.2107], [0.9970619946924983, 0.0], [0.0, 0.2107], [0.011512787340112778, 0.0], [0.0, 0.2107], [0.013576198878059172, 0.0], [0.08663216895227577, 0.0]]
0.1917, [[0.0, 0.817683709286462], [0.9997039680728138, 0.0], [0.0, 0.787385935991606], [0.9961058944481258, 0.0], [0.0, 0.7625813759706178], [0.9976605402222328, 0.0], [0.0, 0.5918432797481648], [0.0, 0.506868467523611], [0.0, 0.4353854674711438], [0.0, 0.2107]]
0.2081, [[1.0, 0.0], [0.0, 0.9806439290136422], [0.0, 0.8709560758132254], [0.0, 0.9303063836306406], [0.9990788582997928, 0.0], [0.0, 0.8635235698321114], [0.9985937952173789, 0.0], [0.0, 0.7618214780167879], [0.9984467355665441, 0.0], [0.0, 0.2107]]
0.1309, [[0.0, 0.2107], [0.9981808806197313, 0.0], [0.0, 0.2107], [0.0, 0.2107], [0.0, 0.2107], [0.0, 0.2107], [0.0, 0.2107], [0.0, 0.2107], [0.0, 0.0], [0.0, 0.2107]]
0.2078, [[0.0, 0.9781513809024166], [0.9997039680728138, 0.0], [0.0, 0.8722232625918155], [0.9990788582997928, 0.0], [0.0, 0.7829760431794335], [0.9989591066910566, 0.0], [0.0, 0.7688953618572925], [0.9987524368782865, 0.0], [0.0, 0.62532765508919], [0.9986447985644892, 0.0]]
0.2096, [[0.9981006566050057, 0.0], [0.0, 0.9978027146904552], [0.9970619946924983, 0.0], [0.0, 0.8334361661070335], [0.9963756809029449, 0.0], [0.0, 0.8142598203043058], [0.0, 0.7618214780167879], [0.0, 0.7018520707764953], [0.0, 0.6856180001573964], [0.0, 0.2107]]
0.1918, [[0.0, 0.8188142386673642], [0.9987524368782865, 0.0], [0.0, 0.7688953618572925], [0.9984225089766665, 0.0], [0.0, 0.6856180001573964], [0.9979853677891417, 0.0], [0.0, 0.62532765508919], [0.9975462077191272, 0.0], [0.0, 0.0], [0.0, 0.2107]]
0.0311, [[0.0, 0.2107], [0.0, 0.0], [0.0, 0.2107], [0.0, 0.0], [0.0, 0.2107], [0.0, 0.0], [0.0, 0.2107], [0.0, 0.0], [0.0, 0.2107], [0.0, 0.2107]]
0.1916, [[0.9981006566050057, 0.0], [0.0, 0.817683709286462], [0.9978725228836601, 0.0], [0.0, 0.716620594333683], [0.9978683788617073, 0.0], [0.0, 0.506868467523611], [0.9956380449953617, 0.0], [0.0, 0.2107], [0.9751437312997236, 0.0], [0.0, 0.2107]]
0.1309, [[0.9984467355665441, 0.0], [0.0, 0.2107], [0.9977639282571045, 0.0], [0.0, 0.2107], [0.9961911125405893, 0.0], [0.0, 0.2107], [0.9960019751283885, 0.0], [0.0, 0.2107], [0.9756242253322924, 0.0], [0.0, 0.2107]]
0.1959, [[0.9979620975120227, 0.0], [0.0, 0.8605995156348366], [0.9973006478541855, 0.0], [0.0, 0.8219084934417639], [0.9968131408613892, 0.0], [0.0, 0.8133603661594992], [0.9961427656178077, 0.0], [0.0, 0.2107], [0.0, 0.2107], [0.0, 0.2107]]
0.0782, [[0.0, 0.6700456826337858], [0.011512787340112778, 0.0], [0.0, 0.2107], [0.007198381397134712, 0.0], [0.0, 0.2107], [0.0, 0.2107], [0.0, 0.2107], [0.0, 0.0], [0.0, 0.2107], [0.0, 0.0]]
0.1979, [[0.0, 0.7688953618572925], [0.9991048912582137, 0.0], [0.0, 0.8802363554564546], [0.0, 0.2107], [0.0, 0.2107], [0.9980958750412141, 0.0], [0.0, 0.2107], [0.9979183196390863, 0.0], [0.0, 0.20136486722977814], [0.0, 0.2063547019040802]]
0.2081, [[0.0, 0.9853751737670535], [0.9960019751283885, 0.0], [0.0, 0.9034536190975896], [0.9764405976569771, 0.0], [0.0, 0.8709560758132254], [0.9731680953980102, 0.0], [0.0, 0.8635235698321114], [0.0, 0.8635235698321114], [0.9728102219124526, 0.0], [0.0, 0.8605995156348366]]
0.0317, [[0.006260467061704674, 0.0], [0.0, 0.2107], [0.0, 0.2107], [0.0, 0.2107], [0.0, 0.0], [0.0, 0.2107], [0.0054879101351754086, 0.0], [0.0, 0.1992456912813171], [0.0, 0.2107], [0.0, 0.2044160849821045]]
0.1310, [[0.9991048912582137, 0.0], [0.0, 0.2107], [0.9966876513761032, 0.0], [0.0, 0.2107], [0.9960021876423348, 0.0], [0.0, 0.2107], [0.995958834797291, 0.0], [0.0, 0.2107], [0.9959292953587562, 0.0], [0.0, 0.2107]]
0.2080, [[0.9989591066910566, 0.0], [0.0, 0.7829760431794335], [0.0, 0.9806439290136422], [0.0, 0.787385935991606], [0.9986447985644892, 0.0], [0.0, 0.2107], [0.9985654246055486, 0.0], [0.0, 0.2107], [0.9964868256968562, 0.0], [0.0, 0.2107]]
0.2095, [[0.0, 1.0], [0.9947209410601339, 0.0], [0.0, 0.9978027146904552], [0.08663216895227577, 0.0], [0.0, 0.5062882947534111], [0.05464706756829305, 0.0], [0.05157995433868772, 0.0], [0.04805499667046014, 0.0], [0.04698906369588115, 0.0], [0.04494432154281093, 0.0]]
0.2078, [[0.0, 0.9781513809024166], [1.0, 0.0], [0.9991048912582137, 0.0], [0.9987524368782865, 0.0], [0.9985937952173789, 0.0], [0.9971658077552625, 0.0], [0.9986371480624225, 0.0], [0.9983100890990776, 0.0], [0.9960157885348976, 0.0], [0.9979183196390863, 0.0]]
0.2002, [[0.0, 0.9034536190975896], [0.9987524368782865, 0.0], [0.9978139752914564, 0.0], [0.9975826538609163, 0.0], [0.9968165410845298, 0.0], [0.9962883376710184, 0.0], [0.9961058944481258, 0.0], [0.9961058944481258, 0.0], [0.9960841117686308, 0.0], [0.9959286578169174, 0.0]]
0.0397, [[0.0, 0.2107], [0.08613342967059234, 0.0], [0.0, 0.2107], [0.04842393927634021, 0.0], [0.0, 0.2107], [0.04698906369588115, 0.0], [0.0, 0.2107], [0.04532037629531078, 0.0], [0.030969842454067396, 0.0], [0.0, 0.0]]
0.2078, [[0.9993961416216083, 0.0], [0.0, 0.9781513809024166], [0.9990788582997928, 0.0], [0.0, 0.8722232625918155], [0.9989591066910566, 0.0], [0.0, 0.787385935991606], [0.9986447985644892, 0.0], [0.0, 0.7829760431794335], [0.9975462077191272, 0.0], [0.0, 0.5918432797481648]]
0.0661, [[0.0, 0.5062882947534111], [0.0, 0.2107], [0.0, 0.2107], [0.05464706756829305, 0.0], [0.0, 0.20166419516105946], [0.00924934667849699, 0.0], [0.0106788881489912, 0.0], [0.00041428254057888615, 0.0], [0.019163679065905413, 0.0], [0.017444317620671373, 0.0]]
0.1987, [[0.9727819575575957, 0.0], [0.0, 0.9138354401888801], [0.0, 0.8219084934417639], [0.0, 0.2107], [0.0, 0.2107], [0.0, 0.2107], [0.0, 0.2107], [0.05577967691742868, 0.0], [0.0, 0.0], [0.046795257700503294, 0.0]]
0.2078, [[0.0, 0.9781513809024166], [0.9984163460722242, 0.0], [0.9993961416216083, 0.0], [0.9977483084820518, 0.0], [0.9986371480624225, 0.0], [0.9979183196390863, 0.0], [0.9997039680728138, 0.0], [0.9979853677891417, 0.0], [0.9960021876423348, 0.0], [0.9960019751283885, 0.0]]
0.2077, [[0.9961828244966839, 0.0], [0.0, 0.2107], [0.0, 0.9806439290136422], [0.0, 0.2107], [0.0, 0.8133603661594992], [0.0, 0.2107], [0.0, 0.2107], [0.0, 0.2107], [0.0, 0.2107], [0.0, 0.2107]]
0.1866, [[0.0, 0.7688953618572925], [0.9975826538609163, 0.0], [0.0, 0.545870488824761], [0.9971658077552625, 0.0], [0.0, 0.4846326524658965], [0.996585432167936, 0.0], [0.0, 0.3785252230849965], [0.9749593754513144, 0.0], [0.0, 0.2107], [0.9741246206702753, 0.0]]
0.1724, [[0.9991048912582137, 0.0], [0.0, 0.62532765508919], [0.9960207826126355, 0.0], [0.0, 0.2107], [0.9959292953587562, 0.0], [0.0, 0.2107], [0.9756242253322924, 0.0], [0.9751959034735386, 0.0], [0.9746274286672046, 0.0], [0.9740574662632467, 0.0]]
0.1308, [[0.0, 0.2107], [0.9971658077552625, 0.0], [0.0, 0.2107], [0.9764405976569771, 0.0], [0.0, 0.2107], [0.9724954887579926, 0.0], [0.0, 0.2107], [0.9724749811621753, 0.0], [0.0, 0.2107], [0.0, 0.2107]]
0.2077, [[0.0, 0.9781513809024166], [0.9990788582997928, 0.0], [0.0, 0.8722232625918155], [0.9989591066910566, 0.0], [0.0, 0.2107], [0.9987524368782865, 0.0], [0.0, 0.0], [0.9979853677891417, 0.0], [0.9977483084820518, 0.0], [0.997264095455423, 0.0]]
0.2094, [[0.0, 0.9978027146904552], [0.9960841117686308, 0.0], [0.0, 0.9034536190975896], [0.9764405976569771, 0.0], [0.0, 0.8970456294858382], [0.9754032108281476, 0.0], [0.0, 0.8802363554564546], [0.9749051843950097, 0.0], [0.0, 0.8722232625918155], [0.9740574662632467, 0.0]]
0.1308, [[0.9968131408613892, 0.0], [0.0, 0.2107], [0.0, 0.2107], [0.0, 0.2107], [0.0, 0.2107], [0.0, 0.2107], [0.0, 0.2107], [0.0, 0.2107], [0.0, 0.2107], [0.0, 0.2107]]
