0.2239, [[0.0, 0.5385005389696172], [0.3044300923894396, 0.31763886430063343], [0.10830425744547946, 0.5100758229854687], [0.4254, 0.0], [0.0, 0.498497328929987], [0.3593206122660593, 0.0], [4.603933941308104e-05, 0.4983589405548216], [0.34441027131422136, 0.0], [0.2931742467689339, 0.0], [0.0, 0.49571802906208745]]
0.4297, [[0.9538620411753878, 0.021368045929032024], [0.7563459984346059, 0.1292870605427983], [0.11072461128892026, 0.0], [0.09107896745642786, 0.2537930271398738], [0.4254, 0.32806205427974705], [0.09599859972516059, 0.4638015657620137], [0.47360587890875333, 0.3535071983298632], [0.32010787736085755, 0.4897186367239099], [0.4254, 0.08621163256785304], [0.45823372580549243, 0.4982720634081901]]
0.1571, [[0.4254, 0.12411598329854986], [0.0, 0.5179206499339497], [0.24216662818185533, 0.0], [0.0, 0.49266451519154536], [0.2058226721117494, 0.0], [0.0, 0.3606889686847564], [0.01707401787383638, 0.0], [0.0, 0.3074790396659704], [0.007471527081925264, 0.0], [0.0, 0.0]]
0.3199, [[0.4254, 0.49841967767503353], [0.09510412113084567, 0.5078252179656536], [0.0, 0.5287144306472924], [0.0, 0.5445869268292683], [0.0, 0.5369997939233817], [0.42090799483734753, 0.21064669311064788], [0.07560317236508099, 0.49646917040951155], [0.0, 0.5148594478203441], [0.0, 0.5001313368560106], [0.0, 0.5436836559691913]]
0.1841, [[0.04046200229577869, 0.5056763540290626], [0.0, 0.5316200739762219], [0.836560688264349, 0.0], [0.0, 0.5447991322207959], [0.5817054394726646, 0.0], [0.0, 0.5389118599735797], [0.25100137064535233, 0.0], [0.0, 0.5165623936591813], [0.10212183186712574, 0.2508706847599164], [0.0, 0.5076576142668433]]
0.2645, [[0.0, 0.544614320924262], [0.2793419819398394, 0.4883944649933956], [0.6358627173287673, 0.0], [0.0, 0.536157162483488], [0.10504204139562483, 0.022725390396664734], [0.03539767496031872, 0.18310982045928811], [0.247739733562138, 0.0], [0.10079326807262863, 0.174337728601266], [0.4254, 0.0], [0.0, 0.19080819206681818]]
0.2614, [[0.6723043949651691, 0.192818885177463], [0.0, 0.5451650269576379], [0.0, 0.4894892708058122], [0.0, 0.5266291228533686], [0.4254, 0.0], [0.0, 0.544586813863928], [0.0, 0.2642567348643137], [0.05033415207568173, 0.0], [0.0, 0.08236751148226505], [0.3701744634001183, 0.0]]
0.5254, [[0.7609038955785108, 0.4976416274768825], [0.32156967549339077, 0.5207307027741088], [0.4254, 0.48712462351387054], [0.4499564125960442, 0.0], [0.0, 0.5184639524438576], [0.4254, 0.0], [0.15169279873884997, 0.4295336826722309], [0.0, 0.5007135931307798], [0.0, 0.5092278097754296], [0.0, 0.5323604517833553]]
0.2725, [[0.4499564125960442, 0.0], [0.061699291862272604, 0.5140798599735803], [0.0, 0.5146546842800532], [0.0, 0.5364380396301186], [0.4254, 0.0], [0.0, 0.5019267978863938], [0.4254, 0.0], [0.41711645593108965, 0.0], [0.3903472776290762, 0.0], [0.3307972762050063, 0.4908872496697491]]
0.3256, [[0.0, 0.5440331707317074], [0.4623401331379716, 0.0], [0.0, 0.5220812708058128], [0.4254, 0.5053334583883756], [0.0, 0.5121580554821671], [0.4254, 0.0], [0.4254, 0.0], [0.42303673836784855, 0.0], [0.3787899361437359, 0.0], [0.0965050324587064, 0.0]]
0.1481, [[0.0, 0.5030882351387059], [0.0019007670129190088, 0.49865826948480835], [0.8261119240570979, 0.0], [0.0, 0.5454251861360719], [0.5602489236725878, 0.0], [0.03089897379479314, 0.0], [0.0, 0.4860533949801854], [0.0, 0.49378443593130794], [0.663210100192192, 0.0], [0.0, 0.5207847767503307]]
0.2163, [[0.2783826769153645, 0.25467935281838205], [0.0, 0.5182963487450463], [0.22123550617164628, 0.49330622721268186], [0.0, 0.5472822233632864], [0.0, 0.5472822233632864], [0.0, 0.5294530145310439], [0.0, 0.5039418863936594], [0.0, 0.49038213210039616], [0.0, 0.4904497886393661], [0.0, 0.5102285627476885]]
0.2405, [[0.3808912709592523, 0.27881779958247405], [0.4147318977273944, 0.0], [0.25816418149476494, 0.33000184133612914], [0.0, 0.5332899603698814], [0.12820140333949426, 0.45665524843424277], [0.36519521351117723, 0.0], [0.23154118300600465, 0.1828515198329877], [0.0, 0.5186515455746368], [0.0, 0.515630322324967], [0.2840745533939151, 0.0]]
0.1174, [[0.16624377957844988, 0.05390886012527464], [0.0, 0.5588651439326849], [0.4254, 0.0], [0.0, 0.5449605596919127], [0.22683602026691355, 0.0], [0.0, 0.5392375852047561], [0.168706955018383, 0.0], [0.0, 0.5211891783355351], [0.18781937185785946, 0.0], [0.0, 0.502563128137385]]
0.2674, [[0.4254, 0.0], [0.4254, 0.22062418789144128], [0.26859776566572013, 0.4676254279749475], [0.2815529516152955, 0.3387486096033471], [0.0, 0.5317541056803173], [0.4254, 0.0], [0.01384468706641979, 0.4205792609603391], [0.2076773284924011, 0.0643523089770424], [0.0, 0.4953784649933949], [0.4254, 0.0]]
0.3631, [[0.0, 0.5411442694848086], [0.42340218790098183, 0.26605470981211654], [0.3954087536629717, 0.4758505302713965], [0.6109017806114445, 0.17295506054281107], [0.2243235547266222, 0.5085707212681642], [0.4254, 0.0], [0.6359057163584276, 0.0], [0.0, 0.5295398916776755], [0.22123550617164628, 0.49330622721268186], [0.4254, 0.0]]
0.3385, [[0.6639410836964033, 0.0], [0.4629206200383754, 0.0], [0.24892744454482119, 0.48625047027741086], [0.46436108753196703, 0.0], [0.2469448808275727, 0.0], [0.4254, 0.0], [0.20499127442387127, 0.4951649881109642], [0.5904557420083664, 0.0], [0.4254, 0.0], [0.756625492127393, 0.1583686722338285]]
0.3137, [[0.1350891716993047, 0.5185544174372527], [0.0, 0.5456804878048781], [0.4254, 0.19747336116911057], [0.5996360348406627, 0.0], [0.34232720897536134, 0.4958056750330253], [0.4643180885023082, 0.0], [0.06214653115942982, 0.49987941875825687], [0.0, 0.5398587952443856], [0.3150738100419467, 0.3655409686847599], [0.4254, 0.0]]
0.3242, [[0.6000230261075986, 0.0], [0.0, 0.5364439339498022], [0.4254, 0.0], [0.4254, 0.0], [0.06980221559900837, 0.5212327450462354], [0.41065713543295834, 0.4068538747390426], [0.2963353852305374, 0.5107810911492735], [0.3577491792735864, 0.43916677661795706], [0.0, 0.5050202906208717], [0.35722841368887176, 0.0]]
0.1566, [[0.0, 0.5845400845881319], [0.4254, 0.0], [0.0, 0.5034316433289302], [0.7091115643536774, 0.0], [0.0, 0.5036033474240423], [0.05129440115487274, 0.33505643006263847], [0.0, 0.0], [0.6345082478944949, 0.0], [0.4254, 0.0], [0.0, 0.4956329458388377]]
0.2486, [[0.3169193301842695, 0.45623994154489494], [0.0, 0.48703543989431997], [0.4094694244502751, 0.0], [0.0, 0.5306792892998677], [0.3855964336983434, 0.0], [0.0, 0.5129499445178333], [0.15515949009875424, 0.0], [0.0, 0.5072357859973582], [0.12788210281950269, 0.07754589979123393], [0.0, 0.49967286129458427]]
0.3433, [[0.0, 0.5397880634081902], [0.4254, 0.2835279874739161], [0.5613883979585644, 0.0], [0.5537775697088377, 0.22558761169103375], [0.30086695944139, 0.5098992496697494], [0.4254, 0.32806205427974705], [0.5087575856553711, 0.0], [0.0, 0.4915556142668426], [0.4254, 0.0], [0.3786985737604526, 0.0]]
0.3384, [[0.04901874237815966, 0.523410055482167], [0.4691124803093383, 0.0], [0.5788675035151385, 0.0], [0.4254, 0.5113907688243068], [0.5405553680885503, 0.0], [0.3134110146661898, 0.5007845812417443], [0.4254, 0.0], [0.09967516982973487, 0.49420344517833575], [0.0, 0.48874402377807163], [0.4254, 0.0]]
0.2886, [[0.0, 0.5476531450577664], [0.4254, 0.0], [0.0766818083170487, 0.4908987820343462], [0.0, 0.5074354240422727], [0.3883647139118277, 0.0], [0.3516644445469173, 0.48226752818372454], [0.0, 0.51841551651255], [0.38588879332484977, 0.322500993736955], [0.0, 0.5416012073976223], [0.06118628208023882, 0.48798109379128135]]
0.5053, [[0.0, 0.544651486521181], [0.0, 0.5276316697490092], [0.023657643409934242, 0.5181679550858653], [0.37073177393814644, 0.5157887001321002], [0.0636592523115802, 0.5169547503302513], [0.0, 0.5271570488771468], [0.2636276520151079, 0.5090924966974906], [0.728611624304247, 0.49347793130779405], [0.42090799483734753, 0.21064669311064788], [0.0, 0.14228819206681997]]
0.2998, [[0.39310642160423226, 0.49633590752972245], [0.0, 0.5218011624834875], [0.0, 0.521211217965654], [0.4254, 0.0], [0.35055895970918927, 0.4875597780713345], [0.0, 0.5077301400264205], [0.3278919524165964, 0.0], [0.32651238042901837, 0.0], [0.12452944735959531, 0.2486219498956254], [0.2249813638862625, 0.0]]
0.3436, [[0.6585232059593089, 0.0], [0.2053293152420193, 0.5145967661822987], [0.0, 0.5177138361955089], [0.4254, 0.0], [0.4254, 0.4999914108322326], [0.23894153605195378, 0.507291653896962], [0.4254, 0.0], [0.2264066170654822, 0.4943200501981505], [0.4254, 0.0], [0.4254, 0.0]]
0.1415, [[0.0, 0.5014680660501984], [0.10109581230305861, 0.4905494795244384], [0.31777813658713283, 0.0], [0.0, 0.2281351649269336], [0.058095069291061945, 0.0], [0.258931625514345, 0.0], [0.24890917206816413, 0.0], [0.16478412005849125, 0.0], [0.08660657448485283, 0.0], [0.07634637884418068, 0.0]]
